[{'x': 6, 'y': 4, 'type': 'f'}, {'x': 22, 'y': 4, 'type': 'w'}, {'x': 39, 'y': 7, 'type': 'f'}, {'x': 7, 'y': 16, 'type': 'f'}, {'x': 29, 'y': 15, 'type': 'w'}, {'x': 37, 'y': 14, 'type': 'f'}, {'x': 8, 'y': 22, 'type': 'w'}, {'x': 27, 'y': 22, 'type': 't'}, {'x': 37, 'y': 22, 'type': 'p'}]
[{'x': 10, 'y': 7, 'type': 't'}, {'x': 27, 'y': 4, 'type': 'p'}, {'x': 40, 'y': 7, 'type': 't'}, {'x': 7, 'y': 17, 'type': 'w'}, {'x': 21, 'y': 17, 'type': 'p'}, {'x': 40, 'y': 13, 'type': 'p'}, {'x': 10, 'y': 22, 'type': 'w'}, {'x': 29, 'y': 22, 'type': 'w'}, {'x': 39, 'y': 22, 'type': 'f'}]
[{'x': 6, 'y': 6, 'type': 'p'}, {'x': 22, 'y': 7, 'type': 't'}, {'x': 41, 'y': 4, 'type': 'w'}, {'x': 6, 'y': 14, 'type': 'f'}, {'x': 23, 'y': 15, 'type': 'p'}, {'x': 39, 'y': 17, 'type': 'f'}, {'x': 9, 'y': 22, 'type': 't'}, {'x': 29, 'y': 22, 'type': 'p'}, {'x': 37, 'y': 22, 'type': 't'}]
[{'x': 6, 'y': 6, 'type': 'w'}, {'x': 24, 'y': 5, 'type': 'f'}, {'x': 42, 'y': 7, 'type': 'w'}, {'x': 8, 'y': 15, 'type': 't'}, {'x': 25, 'y': 13, 'type': 'p'}, {'x': 37, 'y': 16, 'type': 'p'}, {'x': 9, 'y': 22, 'type': 'p'}, {'x': 24, 'y': 22, 'type': 'w'}, {'x': 36, 'y': 22, 'type': 'w'}]
[{'x': 7, 'y': 6, 'type': 't'}, {'x': 25, 'y': 4, 'type': 'f'}, {'x': 42, 'y': 7, 'type': 'f'}, {'x': 9, 'y': 16, 'type': 'w'}, {'x': 24, 'y': 15, 'type': 't'}, {'x': 42, 'y': 15, 'type': 'w'}, {'x': 9, 'y': 22, 'type': 'w'}, {'x': 26, 'y': 22, 'type': 't'}, {'x': 36, 'y': 22, 'type': 'p'}]
[{'x': 7, 'y': 5, 'type': 'f'}, {'x': 28, 'y': 4, 'type': 'f'}, {'x': 38, 'y': 4, 'type': 'w'}, {'x': 9, 'y': 17, 'type': 'p'}, {'x': 28, 'y': 16, 'type': 'f'}, {'x': 42, 'y': 16, 'type': 't'}, {'x': 8, 'y': 22, 'type': 't'}, {'x': 22, 'y': 22, 'type': 'w'}, {'x': 37, 'y': 22, 'type': 't'}]
[{'x': 11, 'y': 7, 'type': 'w'}, {'x': 21, 'y': 7, 'type': 'w'}, {'x': 36, 'y': 7, 'type': 't'}, {'x': 10, 'y': 17, 'type': 't'}, {'x': 28, 'y': 16, 'type': 'f'}, {'x': 40, 'y': 16, 'type': 'p'}, {'x': 7, 'y': 22, 'type': 'p'}, {'x': 22, 'y': 22, 'type': 'p'}, {'x': 38, 'y': 22, 'type': 'w'}]
[{'x': 7, 'y': 7, 'type': 'f'}, {'x': 23, 'y': 5, 'type': 'f'}, {'x': 37, 'y': 4, 'type': 'f'}, {'x': 6, 'y': 16, 'type': 'w'}, {'x': 25, 'y': 17, 'type': 'p'}, {'x': 40, 'y': 16, 'type': 'f'}, {'x': 7, 'y': 22, 'type': 'f'}, {'x': 24, 'y': 22, 'type': 'f'}, {'x': 40, 'y': 22, 'type': 'w'}]
[{'x': 11, 'y': 6, 'type': 'p'}, {'x': 21, 'y': 7, 'type': 't'}, {'x': 40, 'y': 6, 'type': 'w'}, {'x': 8, 'y': 14, 'type': 'f'}, {'x': 29, 'y': 16, 'type': 'f'}, {'x': 36, 'y': 16, 'type': 'p'}, {'x': 7, 'y': 22, 'type': 'p'}, {'x': 27, 'y': 22, 'type': 't'}, {'x': 37, 'y': 22, 'type': 'p'}]
[{'x': 9, 'y': 4, 'type': 't'}, {'x': 25, 'y': 4, 'type': 'p'}, {'x': 40, 'y': 7, 'type': 't'}, {'x': 10, 'y': 13, 'type': 'f'}, {'x': 24, 'y': 16, 'type': 't'}, {'x': 39, 'y': 16, 'type': 'p'}, {'x': 8, 'y': 22, 'type': 't'}, {'x': 28, 'y': 22, 'type': 'p'}, {'x': 37, 'y': 22, 'type': 'w'}]
[{'x': 9, 'y': 6, 'type': 'p'}, {'x': 24, 'y': 7, 'type': 'f'}, {'x': 36, 'y': 5, 'type': 'w'}, {'x': 8, 'y': 14, 'type': 't'}, {'x': 23, 'y': 13, 'type': 'f'}, {'x': 38, 'y': 17, 'type': 'w'}, {'x': 6, 'y': 22, 'type': 'p'}, {'x': 29, 'y': 22, 'type': 'f'}, {'x': 36, 'y': 22, 'type': 't'}]
